"Año";"Periodo";"Parámetro";"2011";"2021";"2030";"2045"
"Fuente":"FID"
"Clasificación":""
"Unidad":"Miles de personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"2030"
"Fuente":"FID"
"Clasificación":""
"Unidad":"Miles de personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"2045"
"Fuente":"FID"
"Clasificación":""
"Unidad":"Miles de personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Url":"https://www.epdata.es/evolucion-diabetes-paises-estimacion-2030-2045/54327a36-bd04-4752-beb9-9fe25fef1b7e"
"Titulo":"Evolución de la diabetes por países y estimación para 2030 y 2045"
"Subtitulo":"Población de 20 a 79 años, ordenado por valores de 2021"
