,#,Region,Country/Territory,2000,2011,2021,2030,2045,Type,Latitud,Longitud
192,193,Western Pacific,Solomon Islands,-,34.5,53.3,71.0,110.4,Country,-8.7053941,159.1070693851845
193,194,Africa,Somalia,-,185.1,376.0,576.3,"1,018.1",Country,8.3676771,49.083416
194,195,Africa,South Africa,886.4,"1,946.6","4,234.0","5,445.2","7,464.0",Country,-28.8166236,24.991639
195,196,Africa,South Sudan,-,-,246.2,361.8,590.6,Country,7.8699431,29.6667897
196,197,Europe,Spain,"2,018.3","2,840.1","5,141.3","5,576.0","5,647.6",Country,39.3260685,-4.8379791
197,198,South-East Asia,Sri Lanka,335.4,"1,079.8","1,417.6","1,559.5","1,749.1",Country,7.877395849999999,80.66247852355892
198,199,Middle East and North Africa,State of Palestine,-,124.5,183.0,262.2,445.3,Country,31.462420950000002,34.262716572130714
199,200,Middle East and North Africa,Sudan,414.3,"1,666.6","3,526.6","4,734.1","7,424.7",Country,14.5844444,29.4917691
200,201,North America and Caribbean,Suriname,9.9,28.5,49.7,58.4,68.6,Country,4.1413025,-56.0771187
201,202,Europe,Sweden,570.3,386.4,496.2,498.9,541.1,Country,59.6749712,14.5208584
202,203,Europe,Switzerland,199.6,423.8,389.0,419.1,445.4,Country,46.7985624,8.2319736
203,204,Middle East and North Africa,Syrian Arab Republic,538.1,889.5,"1,484.2","2,596.0","3,760.1",Country,34.6401861,39.0494106
204,205,Western Pacific,Taiwan,"1,206.9","1,664.5","2,457.2","2,979.4","3,030.7",Country,23.9739374,120.9820179
205,206,Europe,Tajikistan,-,155.5,327.6,423.8,600.7,Country,38.6281733,70.8156541
206,207,Western Pacific,Thailand,"1,489.1","4,014.3","6,066.6","6,735.5","6,783.7",Country,14.8971921,100.83273
207,208,Western Pacific,Timor-Leste,-,30.0,46.3,59.1,89.8,Country,-8.7443169,126.063482
208,209,Africa,Togo,9.6,81.2,75.4,102.2,158.7,Country,8.7800265,1.0199765
209,210,Western Pacific,Tokelau,-,0.1,-,-,-,Country,-9.1676396,-171.819687
210,211,Western Pacific,Tonga,7.5,6.1,7.4,8.5,10.7,Country,-19.9160819,-175.202642
211,212,North America and Caribbean,Trinidad and Tobago,70.3,117.5,148.9,166.8,177.6,Country,10.7466905,-61.0840075
212,213,Middle East and North Africa,Tunisia,176.3,629.6,869.4,"1,016.0","1,163.5",Country,33.8439408,9.400138
213,214,Europe,Turkey,"1,834.6","3,502.3","9,020.9","10,817.8","13,386.3",Country,38.9597594,34.9249653
214,215,Europe,Turkmenistan,-,69.8,223.7,268.9,346.3,Country,39.3763807,59.3924609
215,216,Western Pacific,Tuvalu,-,1.1,1.6,1.9,2.4,Country,-8.6405212,179.1582918181797
216,217,Africa,Uganda,88.7,307.9,716.0,"1,059.8","1,902.8",Country,1.5333554,32.2166578
217,218,Europe,Ukraine,"1,286.3","1,196.0","2,325.0","2,396.4","2,215.9",Country,49.4871968,31.2718321
218,219,Middle East and North Africa,United Arab Emirates,-,768.0,990.9,"1,177.5","1,325.8",Country,24.0002488,53.9994829
219,220,Europe,United Kingdom,"1,466.8","3,063.9","3,996.3","4,140.6","4,408.1",Country,54.7023545,-3.2765753
220,221,Africa,United Republic of Tanzania,134.8,472.9,"2,884.0","4,209.4","7,363.1",Country,-6.5247123,35.7878438
221,222,North America and Caribbean,United States of America,"15,280.0","23,721.8","32,215.3","34,755.3","36,289.9",Country,39.7837304,-100.445882
222,223,South and Central America,Uruguay,98.5,148.6,275.6,290.9,325.2,Country,-32.8755548,-56.0201525
223,224,North America and Caribbean,US Virgin Islands,-,11.8,12.4,11.8,10.0,Country,17.789187,-64.7080574
224,225,Europe,Uzbekistan,-,812.9,"1,351.8","1,704.2","2,190.9",Country,41.32373,63.9528098
225,226,Western Pacific,Vanuatu,-,17.3,19.9,26.7,41.3,Country,-16.5255069,168.1069154
226,227,South and Central America,Venezuela (Bolivarian Republic of),548.7,"1,674.6","2,280.0","3,238.0","4,079.3",Country,8.0018709,-66.1109318
227,228,Western Pacific,Viet Nam,-,"1,702.7","3,994.1","4,961.6","6,015.3",Country,15.9266657,107.9650855
228,229,Middle East and North Africa,Yemen,-,727.1,613.9,897.8,"1,507.1",Country,16.3471243,47.8915271
229,230,Africa,Zambia,40.8,243.8,726.3,"1,098.2","2,045.3",Country,-14.5189121,27.5589884
230,231,Africa,Zimbabwe,55.4,550.9,106.4,142.7,231.5,Country,-18.4554963,29.7468414
